user_id,day,triggered_at,goal_days,current_days_left,threshold_ratio,suggested_daily_budget_dollars
2,2025-09-20,2025-09-20,103,39.78154435683098,0.39,88.32291262135922
2,2025-09-22,2025-09-22,103,63.358386619307566,0.62,146.82368932038835
2,2025-09-23,2025-09-23,103,11.466751190194259,0.11,144.2757281553398
2,2025-10-06,2025-10-06,103,35.28631222819092,0.34,190.05883495145633
2,2025-10-07,2025-10-07,103,11.073025072120146,0.11,187.2957281553398
2,2025-10-20,2025-10-20,103,-78.67964333188951,-0.76,394.86796116504854
2,2025-10-21,2025-10-21,103,-137.6603032712094,-1.34,472.18689320388347
2,2025-10-22,2025-10-22,103,-59.730574318185916,-0.58,464.1758252427185
2,2025-10-23,2025-10-23,103,-35.66597070373598,-0.35,460.77339805825244
2,2025-10-24,2025-10-24,103,-9.927455607461098,-0.1,460.3909708737864
2,2025-10-25,2025-10-25,103,16.381611256607073,0.16,532.4329126213592
2,2025-10-26,2025-10-26,103,-23.09218752288683,-0.22,530.8606796116505
4,2025-10-31,2025-10-31,71,30.36719931120615,0.43,136.1688732394366
4,2025-11-01,2025-11-01,71,35.47231997010937,0.5,135.76985915492958
8,2025-10-25,2025-10-25,83,33.618903096663644,0.41,181.14144578313253
8,2025-10-26,2025-10-26,83,31.98115021563416,0.39,179.56469879518073
8,2025-10-27,2025-10-27,83,55.3760232332298,0.67,171.70927710843375
8,2025-11-07,2025-11-07,83,-10.962998042232357,-0.13,338.36325301204823
8,2025-11-08,2025-11-08,83,-28.50902602908093,-0.34,358.65313253012044
8,2025-11-09,2025-11-09,83,-61.643614990179685,-0.74,355.82602409638554
8,2025-11-10,2025-11-10,83,1.8959591446538866,0.02,355.6453012048193
8,2025-11-11,2025-11-11,83,14.976282277561495,0.18,366.00879518072287
8,2025-11-12,2025-11-12,83,35.59863040831084,0.43,467.4837349397591
13,2025-09-14,2025-09-14,71,43.34196122212626,0.61,336.3667605633803
13,2025-09-27,2025-09-27,71,7.853246051758902,0.11,461.62028169014087
18,2025-10-18,2025-10-18,59,27.408072351283465,0.46,291.47525423728814
25,2025-11-02,2025-11-02,38,17.43069140851486,0.46,579.953947368421
25,2025-11-05,2025-11-05,38,14.138855783632323,0.37,634.4442105263158
35,2025-10-13,2025-10-13,100,66.70531393367597,0.67,347.2796
36,2025-09-18,2025-09-18,93,50.83320140834306,0.55,231.35505376344088
36,2025-09-19,2025-09-19,93,61.09098468197814,0.66,229.04720430107525
36,2025-09-20,2025-09-20,93,13.398936204523238,0.14,274.18967741935484
36,2025-09-21,2025-09-21,93,6.54021474432102,0.07,268.1639784946237
36,2025-09-22,2025-09-22,93,12.007403923565022,0.13,264.55591397849463
36,2025-09-23,2025-09-23,93,46.14920222711618,0.5,323.8536559139785
36,2025-09-24,2025-09-24,93,-7.80216107955718,-0.08,346.3747311827957
36,2025-10-15,2025-10-15,93,49.34091931561605,0.53,556.0680645161291
36,2025-10-22,2025-10-22,93,43.63856413178584,0.47,564.1840860215054
36,2025-10-23,2025-10-23,93,37.10384296726937,0.4,562.0850537634409
36,2025-10-24,2025-10-24,93,30.46783552989146,0.33,595.9448387096775
36,2025-10-25,2025-10-25,93,57.08616153764376,0.61,594.2168817204301
36,2025-10-26,2025-10-26,93,64.79154078803572,0.7,625.459247311828
36,2025-10-27,2025-10-27,93,34.611178458919966,0.37,660.2739784946236
37,2025-11-06,2025-11-06,66,14.097851838792735,0.21,201.64303030303032
37,2025-11-07,2025-11-07,66,36.8925698461054,0.56,196.42848484848486
44,2025-10-16,2025-10-16,79,47.14990110473374,0.6,425.14240506329116
44,2025-10-19,2025-10-19,79,28.107305019758655,0.36,441.2259493670886
44,2025-10-20,2025-10-20,79,-0.8530705456021792,-0.01,431.68177215189877
44,2025-10-24,2025-10-24,79,-25.931439740292376,-0.33,465.32481012658235
44,2025-10-25,2025-10-25,79,-59.16782000544424,-0.75,571.4150632911393
44,2025-10-26,2025-10-26,79,44.161366586372196,0.56,570.5621518987342
52,2025-10-20,2025-10-20,89,47.58110453372581,0.53,121.73741573033708
52,2025-10-26,2025-10-26,89,57.40746614172474,0.65,172.57179775280898
53,2025-10-27,2025-10-27,68,24.881403014611266,0.37,592.2783823529412
53,2025-10-28,2025-10-28,68,45.41995582054122,0.67,588.3644117647059
53,2025-10-29,2025-10-29,68,-26.88873507075556,-0.4,624.6157352941177
53,2025-11-04,2025-11-04,68,24.755639670367884,0.36,809.3958823529412
53,2025-11-05,2025-11-05,68,21.677634770630533,0.32,912.6485294117647
53,2025-11-07,2025-11-07,68,26.019719944676694,0.38,942.467794117647
54,2025-09-28,2025-09-28,120,68.30152005584927,0.57,355.4306666666667
54,2025-09-29,2025-09-29,120,32.90380929383474,0.27,352.3979166666667
54,2025-09-30,2025-09-30,120,25.455867436253897,0.21,367.1103333333333
54,2025-10-01,2025-10-01,120,23.03779895938652,0.19,365.38891666666666
54,2025-10-02,2025-10-02,120,-15.792124386379783,-0.13,362.98625
56,2025-09-24,2025-09-24,110,67.39407037776004,0.61,229.1718181818182
56,2025-09-25,2025-09-25,110,52.790601592839266,0.48,229.0809090909091
56,2025-09-26,2025-09-26,110,25.923041267799533,0.24,284.8491818181818
56,2025-09-27,2025-09-27,110,31.36846193773124,0.29,284.39445454545455
63,2025-09-29,2025-09-29,89,41.10312323850911,0.46,163.30314606741572
70,2025-09-30,2025-09-30,107,58.69429051434372,0.55,154.94560747663553
70,2025-10-01,2025-10-01,107,49.81821650483056,0.47,152.86205607476634
70,2025-10-02,2025-10-02,107,56.4547335467457,0.53,152.86205607476634
70,2025-10-04,2025-10-04,107,69.219848189532,0.65,145.53953271028038
70,2025-10-05,2025-10-05,107,48.0041556519094,0.45,167.69803738317756
70,2025-10-09,2025-10-09,107,22.701935969304174,0.21,176.5927102803738
70,2025-10-15,2025-10-15,107,71.29817094362309,0.67,189.5028971962617
70,2025-10-20,2025-10-20,107,-34.77047132088376,-0.32,198.9826168224299
70,2025-10-21,2025-10-21,107,-23.402575992447055,-0.22,197.49971962616823
70,2025-10-22,2025-10-22,107,38.615366509795905,0.36,196.94308411214953
70,2025-10-23,2025-10-23,107,26.89922208859693,0.25,224.94130841121498
70,2025-10-25,2025-10-25,107,33.455357146938525,0.31,219.82878504672897
74,2025-10-26,2025-10-26,84,33.4232648589865,0.4,836.2213095238095
